ticker,tab,subTab,extractedAt,name_or_holder,title_or_type,marketValue_or_shares,pctMarketcap_or_pctOut,sharesHeld_or_reported,detail_or_change
MSFT,Ownership,InsiderOwnership,2026-05-17,Satya Nadella,Chairman & CEO,$378.29M,0.01%,896,595,Nov 10 2025
MSFT,Ownership,InsiderOwnership,2026-05-17,Amy Hood,Executive VP & CFO,$214.26M,0.01%,507,823,Mar 02 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Bradford Smith,President & Vice Chairman,$166.52M,0.01%,394,675,Mar 02 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Kathleen Hogan,Executive VP - Office of Strategy & Transformation,$58.20M,0.00%,137,933,Mar 06 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,John Stanton,Independent Director,$36.93M,0.00%,87,527,Feb 18 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Christopher Young,Former Executive Officer,$32.50M,0.00%,77,018,Nov 12 2024
MSFT,Ownership,InsiderOwnership,2026-05-17,Judson Althoff,Executive VP & CEO of Commercial Business,$30.45M,0.00%,72,169,Mar 02 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Alice Jolla,Corporate VP & Chief Accounting Officer,$30.19M,0.00%,71,561,Mar 02 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Takeshi Numoto,Executive VP & Chief Marketing Officer,$22.97M,0.00%,54,431,Mar 02 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Amy Coleman,Executive VP & Chief People Officer,$19.94M,0.00%,47,266,Apr 15 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Charles Scharf,Independent Director,$19.16M,0.00%,45,417,Jan 30 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Reid Hoffman,Independent Director,$6.71M,0.00%,15,905,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Penny Pritzker,Independent Director,$5.06M,0.00%,12,000,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Emma Walmsley,Independent Director,$4.18M,0.00%,9,914,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Hugh Johnston,Independent Director,$3.30M,0.00%,7,818,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Sandra Peterson,Lead Independent Director,$2.28M,0.00%,5,400,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,John Rainey,Independent Director,$2.31M,0.00%,5,464,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Teri List-Stoll,Independent Director,$1.24M,0.00%,2,947,Mar 12 2026
MSFT,Ownership,InsiderOwnership,2026-05-17,Mark Mason,Independent Director,$706.72K,0.00%,1,675,Jan 30 2026
